"business_id","Score","date","type"
2826,"74","20130319","routine"
2828,"98","20130207","routine"
2833,"83","20130212","routine"
2836,"87","20130419","routine"
2843,"94","20130312","routine"
2849,"84","20130220","routine"
2854,"90","20130416","routine"
2858,"96","20130211","routine"
286,"60","20130211","routine"
2861,"89","20130405","routine"
2866,"98","20130129","routine"
2871,"100","20130212","routine"
2879,"83","20130122","routine"
2879,"83","20130207","routine"
2880,"90","20130507","routine"
28828,"88","20130226","routine"
28836,"92","20130327","routine"
2884,"100","20130319","routine"
28843,"90","20130220","routine"
2885,"100","20130403","routine"
2893,"100","20130320","routine"
2896,"86","20130313","routine"
28963,"76","20130124","routine"
28976,"100","20130115","routine"
2899,"100","20130221","routine"
29054,"89","20130315","routine"
2907,"89","20130417","routine"
29100,"98","20130214","routine"
2920,"96","20130506","routine"
2926,"92","20130220","routine"
2927,"86","20130107","routine"
2929,"94","20130312","routine"
2932,"84","20130211","routine"
2933,"78","20130228","routine"
2934,"90","20130227","routine"
2941,"100","20130207","routine"
2942,"94","20130308","routine"
29428,"81","20130425","routine"
2943,"83","20130107","routine"
2944,"70","20130417","routine"
2949,"86","20130301","routine"
2951,"96","20130129","routine"
2952,"96","20130506","routine"
2955,"90","20130424","routine"
2956,"75","20130308","routine"
2957,"100","20130314","routine"
29610,"67","20130401","routine"
2967,"100","20130321","routine"
2968,"87","20130425","routine"
2970,"100","20130124","routine"
2971,"100","20130328","routine"
2974,"94","20130325","routine"
2980,"94","20130425","routine"
2981,"94","20130402","routine"
29948,"72","20130430","routine"
29950,"86","20130329","routine"
29956,"100","20130227","routine"
2996,"93","20130201","routine"
300,"90","20130214","routine"
3011,"100","20130220","routine"
30111,"90","20130318","routine"
30156,"100","20130215","routine"
3016,"82","20130319","routine"
3019,"77","20130111","routine"
3021,"85","20130228","routine"
3028,"100","20130327","routine"
3029,"94","20130226","routine"
3035,"64","20130429","routine"
30404,"87","20130122","routine"
3046,"90","20130422","routine"
30478,"82","20130430","routine"
30495,"100","20130507","routine"
30496,"90","20130509","routine"
3053,"98","20130111","routine"
30532,"94","20130410","routine"
3055,"88","20130115","routine"
3061,"88","20130301","routine"
3062,"96","20130506","routine"
3070,"89","20130123","routine"
3076,"98","20130426","routine"
3080,"92","20130116","routine"
3082,"87","20130228","routine"
3084,"92","20130329","routine"
3089,"79","20130312","routine"
3090,"100","20130311","routine"
3091,"96","20130509","routine"
3095,"67","20130221","routine"
30957,"100","20130123","routine"
3097,"81","20130423","routine"
3111,"96","20130123","routine"
31144,"98","20130116","routine"
3116,"100","20130219","routine"
3120,"98","20130104","routine"
3121,"98","20130227","routine"
3123,"78","20130207","routine"
3130,"92","20130118","routine"
3134,"100","20130213","routine"
3136,"74","20130206","routine"
3150,"88","20130328","routine"
3155,"100","20130207","routine"
3160,"90","20130115","routine"
3164,"100","20130325","routine"
3168,"92","20130114","routine"
3183,"86","20130314","routine"
3194,"87","20130320","routine"
3199,"90","20130221","routine"
3206,"94","20130325","routine"
3207,"96","20130130","routine"
3209,"77","20130424","routine"
3211,"96","20130415","routine"
3216,"96","20130115","routine"
3217,"58","20130401","routine"
3218,"94","20130321","routine"
32200,"83","20130320","routine"
3222,"90","20130122","routine"
3223,"96","20130426","routine"
3224,"90","20130329","routine"
3228,"94","20130312","routine"
3229,"83","20130104","routine"
3237,"86","20130206","routine"
3240,"90","20130305","routine"
3241,"75","20130201","routine"
32431,"100","20130327","routine"
32508,"98","20130130","routine"
3252,"92","20130107","routine"
32555,"98","20130122","routine"
3256,"94","20130418","routine"
32578,"100","20130115","routine"
32579,"100","20130228","routine"
326,"92","20130103","routine"
3261,"98","20130103","routine"
3262,"88","20130207","routine"
32625,"96","20130220","routine"
3265,"93","20130503","routine"
32654,"92","20130206","routine"
3267,"98","20130204","routine"
32682,"100","20130424","routine"
32683,"92","20130423","routine"
32684,"82","20130423","routine"
32685,"92","20130424","routine"
32698,"86","20130415","routine"
32701,"88","20130507","routine"
32702,"100","20130109","routine"
3272,"90","20130110","routine"
32729,"77","20130404","routine"
3273,"75","20130211","routine"
32733,"100","20130410","routine"
32736,"92","20130204","routine"
32738,"100","20130102","routine"
3275,"89","20130502","routine"
3279,"94","20130325","routine"
328,"90","20130422","routine"
3282,"100","20130201","routine"
3283,"100","20130325","routine"
32830,"100","20130220","routine"
32835,"92","20130220","routine"
3284,"86","20130225","routine"
3285,"96","20130307","routine"
3286,"76","20130206","routine"
3286,"94","20130207","routine"
32872,"94","20130201","routine"
32887,"94","20130128","routine"
32893,"79","20130408","routine"
32919,"84","20130326","routine"
3294,"90","20130425","routine"
3299,"94","20130227","routine"
32992,"80","20130321","routine"
33014,"94","20130326","routine"
3304,"92","20130506","routine"
33054,"96","20130405","routine"
33084,"98","20130402","routine"
3309,"92","20130206","routine"
33093,"94","20130130","routine"
